"Numero","lat","lon","H_Ellis","Nord","Est","H_Geoid","fuso","Posto",
1,43.50324549,10.14435411,46.053,4855133.366,1600143.828,0.07,Ovest,VIA,1
2,43.50324745,10.14436052,46.521,4855133.995,1600145.251,0.538,Ovest,VIA,
3,43.50325122,10.14437415,46.928,4855135.201,1600148.276,0.945,Ovest,VIA,
4,43.50325699,10.14439303,47.223,4855137.047,1600152.465,1.24,Ovest,VIA,
5,43.50326256,10.14441135,47.638,4855138.825,1600156.531,1.655,Ovest,VIA,
6,43.50326753,10.14442884,48.238,4855140.419,1600160.414,2.255,Ovest,VIA,
7,43.50327941,10.1444764,48.177,4855144.244,1600170.979,2.194,Ovest,VIA,
8,43.50329289,10.14453241,48.115,4855148.59,1600183.423,2.132,Ovest,VIA,
9,43.50330086,10.14456208,48.163,4855151.15,1600190.013,2.179,Ovest,VIA,
10,43.50331143,10.14459605,48.233,4855154.525,1600197.548,2.25,Ovest,VIA,
11,43.50331973,10.14462169,48.131,4855157.17,1600203.236,2.147,Ovest,VIA,
12,43.5033222,10.1446301,48.232,4855157.961,1600205.102,2.248,Ovest,VIA,
13,43.50332705,10.1446458,48.789,4855159.512,1600208.585,2.805,Ovest,VIA,
14,43.50333144,10.14465867,48.976,4855160.908,1600211.439,2.993,Ovest,VIA,
15,43.50334029,10.1446863,49.123,4855163.732,1600217.568,3.14,Ovest,VIA,
16,43.50334877,10.14471097,49.015,4855166.431,1600223.038,3.031,Ovest,VIA,
17,43.5033588,10.14473877,48.414,4855169.621,1600229.198,2.431,Ovest,VIA,
18,43.50337102,10.14477007,48.354,4855173.495,1600236.129,2.37,Ovest,VIA,
19,43.5033803,10.14479505,48.31,4855176.442,1600241.664,2.326,Ovest,VIA,
20,43.50339178,10.14483388,47.333,4855180.114,1600250.282,1.349,Ovest,VIA,
21,43.50339717,10.14485134,47.563,4855181.836,1600254.156,1.58,Ovest,VIA,
22,43.50340696,10.14488008,48.329,4855184.952,1600260.529,2.345,Ovest,VIA,
23,43.50341404,10.14490739,48.694,4855187.229,1600266.594,2.71,Ovest,VIA,
24,43.50342429,10.1449436,48.004,4855190.514,1600274.631,2.021,Ovest,VIA,
25,43.50343212,10.14496606,47.714,4855193.006,1600279.612,1.73,Ovest,VIA,
26,43.50343441,10.14497388,47.955,4855193.74,1600281.348,1.971,Ovest,VIA,
27,43.50344869,10.1450233,47.987,4855198.31,1600292.316,2.003,Ovest,VIA,
28,43.50346578,10.14510415,47.62,4855203.855,1600310.289,1.635,Ovest,VIA,
29,43.50346876,10.1451207,47.378,4855204.83,1600313.973,1.393,Ovest,VIA,
30,43.50347741,10.14516254,46.992,4855207.642,1600323.275,1.008,Ovest,VIA,
31,43.50348712,10.14521385,47.226,4855210.809,1600334.688,1.242,Ovest,VIA,
32,43.50349801,10.14525646,47.363,4855214.312,1600344.151,1.378,Ovest,VIA,
33,43.50350232,10.14527518,47.956,4855215.705,1600348.311,1.971,Ovest,VIA,
34,43.50351701,10.14533482,48.165,4855220.438,1600361.561,2.18,Ovest,VIA,
35,43.5035248,10.14537197,48.315,4855222.968,1600369.82,2.33,Ovest,VIA,
36,43.50353411,10.14540911,48.132,4855225.964,1600378.07,2.148,Ovest,VIA,
37,43.50354145,10.14543426,48.172,4855228.315,1600383.652,2.187,Ovest,VIA,
