"";"FID";"lat";"lon";"data_1"
"7222";7221;58.3819126;26.7204291;19000
"7223";7222;58.379204;26.7226831;19000
"7224";7223;58.3795297;26.7221958;19000
"7225";7224;58.3665128;26.7025837;19460
"7226";7225;58.3664555;26.7022709;19610
"7227";7226;58.3664007;26.7019072;19610
"7228";7227;58.3663627;26.7015986;19710
"7229";7228;58.3979778;26.7326594;19460
"7230";7229;58.398249;26.7321507;19460
"7231";7230;58.398624;26.7314433;19460
"7232";7231;58.3987932;26.7311136;19460
"7233";7232;58.398963;26.73075;19000
"7234";7233;58.3991303;26.7304372;19061
"7235";7234;58.3971147;26.7343544;19406
"7236";7235;58.3992731;26.7300885;19000
"7237";7236;58.3994222;26.7298621;19460
"7238";7237;58.3995635;26.7295133;19000
"7239";7238;58.3997216;26.7292848;19610
"7240";7239;58.39988;26.7290421;19000
"7241";7240;58.4000209;26.7287102;19406
"7242";7241;58.4001711;26.7284301;19610
"7243";7242;58.4002753;26.7282172;19610
"7244";7243;58.4004341;26.7278867;19710
"7245";7244;58.4005398;26.7276031;19710
"7246";7245;58.4006273;26.727267;19460
"7247";7246;58.3973116;26.7339759;19460
"7248";7247;58.4007051;26.7269671;19610
"7249";7248;58.4007769;26.7265959;190000
"7250";7249;58.4007393;26.7262672;19710
"7251";7250;58.400907;26.7259374;19610
"7252";7251;58.4009671;26.7257012;19610
"7253";7252;58.4010378;26.7253129;19610
"7254";7253;58.4013315;26.7237434;19610
"7255";7254;58.397509;26.7335805;19000
"7256";7255;58.3744893;26.7318107;19190
"7257";7256;58.3976588;26.7333202;19460
"7258";7257;58.3978294;26.7329227;19810
"7259";7258;58.3744893;26.7318107;19710
"7260";7259;58.3507326;26.6954073;196100
"7261";7260;58.3510573;26.6953134;19610
"7262";7261;58.3512941;26.6952296;19610
"7263";7262;58.3515112;26.6951585;19710
"7264";7263;58.3517821;26.6950774;19710
"7265";7264;58.3522533;26.6948758;198100
"7266";7265;58.3744893;26.7318107;19910
"7267";7266;58.3503155;26.6955819;19710
"7268";7267;58.3505063;26.6954919;19710
"7269";7268;58.3466758;26.7801114;19610
"7270";7269;58.3461019;26.7813306;19610
"7271";7270;58.3462705;26.7810356;19710
"7272";7271;58.3555167;26.7868273;19000
"7273";7272;58.3744893;26.7318107;198100
"7274";7273;58.3763313;26.7280212;19610
"7275";7274;58.3745591;26.7318869;19610
"7276";7275;58.3742791;26.7315566;19190
"7277";7276;58.3741467;26.731838;19190
"7278";7277;58.3740464;26.73277;19190
"7279";7278;58.3737863;26.7319289;19109
"7280";7279;58.3738231;26.7331292;19000
"7281";7280;58.3739116;26.7323321;19000
"7282";7281;58.3736279;26.7334226;19000
"7283";7282;58.3738278;26.7324955;1900
"7284";7283;58.3734785;26.7336658;19190
"7285";7284;58.3737146;26.7327103;190000
"7286";7285;58.3732637;26.7340426;19000
"7287";7286;58.3736122;26.7329062;19190
"7288";7287;58.3731243;26.7347169;19460
"7289";7288;58.3734538;26.7331515;190000
"7290";7289;58.3732354;26.7349463;19190
"7291";7290;58.3730878;26.7343375;19000
"7292";7291;58.3758699;26.7290103;19610
"7293";7292;58.3729137;26.7340664;1900
"7294";7293;58.3716885;26.7366916;1900
"7295";7294;58.3718612;26.7357822;1900
"7296";7295;58.3714184;26.737149;1900
"7297";7296;58.3715405;26.7360998;1919
"7298";7297;58.3711921;26.7376438;1900
"7299";7298;58.3715162;26.7364037;1900
"7300";7299;58.371413;26.7365683;1900
"7301";7300;58.3761852;26.7294283;1961
"7302";7301;58.3705714;26.7385042;1919
"7303";7302;58.3712746;26.7367104;1919
"7304";7303;58.3709645;26.7373714;1900
"7305";7304;58.3706492;26.7378592;1900
"7306";7305;58.3705549;26.7380245;1900
"7307";7306;58.3754878;26.7296319;1900
"7308";7307;58.375816;26.7298611;1919
"7309";7308;58.3751157;26.7302711;1961
"7310";7309;58.3750817;26.733108;1961
"7311";7310;58.3748347;26.7324887;1961
"7312";7311;58.3745201;26.7341232;1961
"7313";7312;58.3741498;26.7346776;1961
"7314";7313;58.3739396;26.7340102;1961
"7315";7314;58.3656254;26.7395207;1981
"7316";7315;58.3762671;26.7301877;1961
"7317";7316;58.3641693;26.7395263;1981
"7318";7317;58.3763757;26.7310172;1961
"7319";7318;58.3760222;26.7315559;1961
"7320";7319;58.3754442;26.7325699;1961
"7321";7320;58.3699332;26.7246867;1900
"7322";7321;58.3697742;26.7241252;1900
"7323";7322;58.370265;26.7246784;1900
"7324";7323;58.3693632;26.7240085;1900
"7325";7324;58.3700247;26.7241616;1900
"7326";7325;58.3696593;26.723655;1900
"7327";7326;58.3703793;26.7235748;1900
"7328";7327;58.3693645;26.7235303;1919
"7329";7328;58.3694813;26.7231459;1900
"7330";7329;58.369918;26.7237259;1900
"7331";7330;58.3703217;26.7262735;1946
"7332";7331;58.3694533;26.7227163;1900
"7333";7332;58.3701173;26.7236564;1900
"7334";7333;58.3693193;26.7227229;1919
"7335";7334;58.3697816;26.7233587;1900
"7336";7335;58.3696991;26.7230438;1900
"7337";7336;58.3696604;26.7226983;1900
"7338";7337;58.370066;26.7264745;1946
"7339";7338;58.3699995;26.7261778;1961
"7340";7339;58.3702288;26.7259578;1946
"7341";7340;58.3701172;26.7253321;1900
"7342";7341;58.3744893;26.7318107;1919
"7343";7342;58.3719294;26.7111235;1981
"7344";7343;58.3747705;26.7055614;1919
"7345";7344;58.3759142;26.7037327;1946
"7346";7345;58.3765457;26.7027733;1961
"7347";7346;58.3775771;26.7011226;1900
"7348";7347;58.3731409;26.7082076;1919
"7349";7348;58.3755305;26.7052772;1900
"7350";7349;58.3758128;26.7051461;1919
"7351";7350;58.3762541;26.7042542;1900
"7352";7351;58.370859;26.7128527;1961
"7353";7352;58.3713905;26.7119198;1961
"7354";7353;58.3716383;26.712573;1961
"7355";7354;58.3574155;26.7911994;1900
"7356";7355;58.3608731;26.7929109;1996
"7357";7356;58.3821188;26.7580851;1946
"7358";7357;58.382304;26.7582525;1946
"7359";7358;58.3824925;26.7574461;1946
"7360";7359;58.3744893;26.7318107;1900
"7361";7360;58.3825639;26.7583408;1946
"7362";7361;58.3825008;26.7587125;1946
"7363";7362;58.3744893;26.7318107;1946
"7364";7363;58.3833453;26.7591383;1946
"7365";7364;58.3744893;26.7318107;1961
"7366";7365;58.3811606;26.7571379;1946
"7367";7366;58.3842833;26.7598461;1946
"7368";7367;58.384712;26.759554;1946
"7369";7368;58.3848634;26.7591553;1900
"7370";7369;58.3858768;26.7600899;1946
"7371";7370;58.3861745;26.7609006;1946
"7372";7371;58.386274;26.7604298;1946
"7373";7372;58.3864101;26.7599788;1946
"7374";7373;58.3815409;26.7578501;1946
"7375";7374;58.3744893;26.7318107;1996
"7376";7375;58.3598696;26.7940454;1900
"7377";7376;58.3550431;26.7031753;1919
"7378";7377;58.3555058;26.7054828;1991
"7379";7378;58.3553832;26.7019339;1961
"7380";7379;58.3550914;26.7025792;1981
"7381";7380;58.3553391;26.7014863;1961
"7382";7381;58.3550053;26.7020096;1946
"7383";7382;58.3553332;26.7009228;1971
"7384";7383;58.3550988;26.7018102;1946
"7385";7384;58.3548255;26.7015855;1971
"7386";7385;58.3553441;26.7004115;1900
"7387";7386;58.3550267;26.7010012;1900
"7388";7387;58.3553364;26.6999328;1961
"7389";7388;58.3554923;26.7052781;1991
"7390";7389;58.3549816;26.7001093;1971
"7391";7390;58.3744893;26.7318107;1991
"7392";7391;58.3552668;26.6990022;1961
"7393";7392;58.3552538;26.7055144;1991
"7394";7393;58.3549803;26.6997499;1961
"7395";7394;58.3552284;26.69864;1946
"7396";7395;58.3549801;26.6993396;1946
"7397";7396;58.3552139;26.6980588;1971
"7398";7397;58.3551984;26.6975286;1981
"7399";7398;58.3549275;26.6988744;1971
"7400";7399;58.3549165;26.6985482;1946
"7401";7400;58.3550616;26.6954838;1961
"7402";7401;58.354907;26.6981542;1961
"7403";7402;58.355019;26.6949656;1971
"7404";7403;58.3548797;26.6977588;1971
"7405";7404;58.3548583;26.6974318;1971
"7406";7405;58.3744893;26.7318107;1991
"7407";7406;58.355002;26.6945032;1971
"7408";7407;58.3548577;26.6970385;1971
"7409";7408;58.3550014;26.6941098;1961
"7410";7409;58.3547779;26.6957507;1919
"7411";7410;58.3549663;26.6936629;1981
"7412";7411;58.3547457;26.694741;1961
"7413";7412;58.3549564;26.6932859;1981
"7414";7413;58.3547058;26.6944465;1961
"7415";7414;58.3550311;26.6922844;1996
"7416";7415;58.3547163;26.6939522;1961
"7417";7416;58.3552293;26.7049834;1991
"7418";7417;58.3546886;26.6935738;1961
"7419";7418;58.3546601;26.6932293;1971
"7420";7419;58.3554441;26.7033419;1971
"7421";7420;58.3552056;26.7044186;1991
"7422";7421;58.3551918;26.7042279;1991
"7423";7422;58.355439;26.7027417;1971
"7424";7423;58.3551581;26.7037132;1900
"7425";7424;58.3554198;26.7023837;1971
"7426";7425;58.366873;26.727869;1900
"7427";7426;58.3666987;26.7263498;1919
"7428";7427;58.3666689;26.7281617;1900
"7429";7428;58.3668813;26.728314;1900
"7430";7429;58.3672028;26.7283729;1919
"7431";7430;58.3666616;26.7285036;1900
"7432";7431;58.3665076;26.7285426;1919
"7433";7432;58.3668707;26.7288113;1900
"7434";7433;58.3663814;26.7286008;1946
"7435";7434;58.3668772;26.7326752;1900
"7436";7435;58.3665037;26.7291395;1900
"7437";7436;58.3669794;26.735471;1981
"7438";7437;58.3666603;26.7289818;1900
"7439";7438;58.3666723;26.7292573;1900
"7440";7439;58.3668825;26.7265876;1900
"7441";7440;58.3670857;26.7397361;1961
"7442";7441;58.366655;26.7308975;1919
"7443";7442;58.3672639;26.7402312;1946
"7444";7443;58.3664993;26.7314317;1946
"7445";7444;58.3664417;26.7312065;1961
"7446";7445;58.366652;26.7318709;1919
"7447";7446;58.3665164;26.7336208;1961
"7448";7447;58.3670874;26.7266714;1919
"7449";7448;58.3666968;26.7336009;1900
"7450";7449;58.3666796;26.7268294;1900
"7451";7450;58.3667092;26.7342698;1900
