"data_1","lat","lon","H_Ellis","Nord","Est","sdsd","fuso","Posto",
1,43.50324549,10.14435411,46.053,4855133.366,1600143.828,0.07,Ovest,VIA,1
2,43.50324745,10.14436052,46.521,4855133.995,1600145.251,0.538,Ovest,VIA,
3,43.50325122,10.14437415,46.928,4855135.201,1600148.276,0.945,Ovest,VIA,
4,43.50325699,10.14439303,47.223,4855137.047,1600152.465,1.24,Ovest,VIA,
5,43.50326256,10.14441135,47.638,4855138.825,1600156.531,1.655,Ovest,VIA,
6,43.50326753,10.14442884,48.238,4855140.419,1600160.414,2.255,Ovest,VIA,
7,43.50327941,10.1444764,48.177,4855144.244,1600170.979,2.194,Ovest,VIA,
8,43.50329289,10.14453241,48.115,4855148.59,1600183.423,2.132,Ovest,VIA,
9,43.50330086,10.14456208,48.163,4855151.15,1600190.013,2.179,Ovest,VIA,
10,43.50331143,10.14459605,48.233,4855154.525,1600197.548,2.25,Ovest,VIA,
11,43.50331973,10.14462169,48.131,4855157.17,1600203.236,2.147,Ovest,VIA,
12,43.5033222,10.1446301,48.232,4855157.961,1600205.102,2.248,Ovest,VIA,
13,43.50332705,10.1446458,48.789,4855159.512,1600208.585,2.805,Ovest,VIA,
14,43.50333144,10.14465867,48.976,4855160.908,1600211.439,2.993,Ovest,VIA,
15,43.50334029,10.1446863,49.123,4855163.732,1600217.568,3.14,Ovest,VIA,
16,43.50334877,10.14471097,49.015,4855166.431,1600223.038,3.031,Ovest,VIA,
17,43.5033588,10.14473877,48.414,4855169.621,1600229.198,2.431,Ovest,VIA,
18,43.50337102,10.14477007,48.354,4855173.495,1600236.129,2.37,Ovest,VIA,
19,43.5033803,10.14479505,48.31,4855176.442,1600241.664,2.326,Ovest,VIA,
20,43.50339178,10.14483388,47.333,4855180.114,1600250.282,1.349,Ovest,VIA,
21,43.50339717,10.14485134,47.563,4855181.836,1600254.156,1.58,Ovest,VIA,
22,43.50340696,10.14488008,48.329,4855184.952,1600260.529,2.345,Ovest,VIA,
23,43.50341404,10.14490739,48.694,4855187.229,1600266.594,2.71,Ovest,VIA,
24,43.50342429,10.1449436,48.004,4855190.514,1600274.631,2.021,Ovest,VIA,
25,43.50343212,10.14496606,47.714,4855193.006,1600279.612,1.73,Ovest,VIA,
26,43.50343441,10.14497388,47.955,4855193.74,1600281.348,1.971,Ovest,VIA,
27,43.50344869,10.1450233,47.987,4855198.31,1600292.316,2.003,Ovest,VIA,
28,43.50346578,10.14510415,47.62,4855203.855,1600310.289,1.635,Ovest,VIA,
29,43.50346876,10.1451207,47.378,4855204.83,1600313.973,1.393,Ovest,VIA,
30,43.50347741,10.14516254,46.992,4855207.642,1600323.275,1.008,Ovest,VIA,
31,43.50348712,10.14521385,47.226,4855210.809,1600334.688,1.242,Ovest,VIA,
32,43.50349801,10.14525646,47.363,4855214.312,1600344.151,1.378,Ovest,VIA,
33,43.50350232,10.14527518,47.956,4855215.705,1600348.311,1.971,Ovest,VIA,
34,43.50351701,10.14533482,48.165,4855220.438,1600361.561,2.18,Ovest,VIA,
35,43.5035248,10.14537197,48.315,4855222.968,1600369.82,2.33,Ovest,VIA,
36,43.50353411,10.14540911,48.132,4855225.964,1600378.07,2.148,Ovest,VIA,
37,43.50354145,10.14543426,48.172,4855228.315,1600383.652,2.187,Ovest,VIA,
38,43.50354824,10.14545813,47.472,4855230.489,1600388.95,1.487,Ovest,VIA,
39,43.50354954,10.14546519,47.28,4855230.914,1600390.521,1.295,Ovest,VIA,
40,43.50355268,10.14548253,47.59,4855231.941,1600394.379,1.605,Ovest,VIA,
41,43.50355695,10.14550518,48.089,4855233.336,1600399.417,2.104,Ovest,VIA,
42,43.50356394,10.14552531,47.361,4855235.559,1600403.88,1.376,Ovest,VIA,
1,43.49448465,10.15069095,46.115,4853672.418,1600687.876,0.098,Ovest,TLA,2
2,43.49448677,10.15070297,46.565,4853673.114,1600690.549,0.548,Ovest,TLA,
3,43.49448957,10.15071457,46.806,4853674.016,1600693.128,0.789,Ovest,TLA,
4,43.4944937,10.15073147,47.451,4853675.348,1600696.884,1.434,Ovest,TLA,
5,43.49450291,10.1507666,48.15,4853678.308,1600704.687,2.133,Ovest,TLA,
6,43.49451167,10.15080602,48.479,4853681.145,1600713.451,2.462,Ovest,TLA,
7,43.49451708,10.1508324,48.492,4853682.902,1600719.316,2.475,Ovest,TLA,
8,43.49452489,10.15086277,48.414,4853685.415,1600726.063,2.397,Ovest,TLA,
9,43.4945284,10.15087897,48.32,4853686.551,1600729.666,2.302,Ovest,TLA,
10,43.49453451,10.15090417,48.304,4853688.523,1600735.265,2.287,Ovest,TLA,
11,43.49454308,10.15093704,48.475,4853691.277,1600742.567,2.457,Ovest,TLA,
12,43.49454601,10.15095161,48.834,4853692.23,1600745.807,2.817,Ovest,TLA,
13,43.49454848,10.15096892,48.965,4853693.052,1600749.661,2.948,Ovest,TLA,
14,43.4945514,10.15097958,49.331,4853693.989,1600752.031,3.313,Ovest,TLA,
15,43.4945567,10.15100151,48.895,4853695.698,1600756.904,2.878,Ovest,TLA,
16,43.4945636,10.15103725,48.456,4853697.948,1600764.854,2.439,Ovest,TLA,
17,43.49456979,10.15107003,48.084,4853699.968,1600772.147,2.067,Ovest,TLA,
18,43.49457538,10.15110417,48.545,4853701.809,1600779.745,2.527,Ovest,TLA,
19,43.49457995,10.15113542,48.05,4853703.325,1600786.704,2.032,Ovest,TLA,
20,43.49458348,10.15116066,48.583,4853704.498,1600792.325,2.565,Ovest,TLA,
21,43.49458668,10.15118617,48.96,4853705.573,1600798.007,2.943,Ovest,TLA,
22,43.49459047,10.1512155,48.13,4853706.842,1600804.539,2.112,Ovest,TLA,
23,43.49459575,10.15125679,47.726,4853708.609,1600813.739,1.708,Ovest,TLA,
24,43.49459995,10.1513048,48.013,4853710.068,1600824.441,1.995,Ovest,TLA,
25,43.49460256,10.15133974,48.172,4853710.992,1600832.233,2.154,Ovest,TLA,
26,43.49460369,10.15137835,47.824,4853711.471,1600840.851,1.806,Ovest,TLA,
27,43.49460333,10.15141848,47.971,4853711.496,1600849.817,1.952,Ovest,TLA,
28,43.49459892,10.1514712,47.668,4853710.313,1600861.612,1.649,Ovest,TLA,
29,43.49459591,10.15152572,47.537,4853709.57,1600873.803,1.518,Ovest,TLA,
30,43.49459595,10.15152598,47.558,4853709.582,1600873.861,1.54,Ovest,TLA,
31,43.49459707,10.15156795,47.661,4853710.071,1600883.229,1.642,Ovest,TLA,
32,43.49459838,10.15160689,47.592,4853710.605,1600891.922,1.573,Ovest,TLA,
33,43.49460017,10.15164029,48.063,4853711.272,1600899.372,2.044,Ovest,TLA,
34,43.49460305,10.15167226,48.317,4853712.268,1600906.499,2.298,Ovest,TLA,
35,43.49461096,10.15171689,47.611,4853714.861,1600916.43,1.592,Ovest,TLA,
36,43.4946164,10.15173394,47.507,4853716.595,1600920.213,1.488,Ovest,TLA,
1,43.48308375,10.15368354,46.173,4851399.227,1601391.042,0.106,Ovest,FBU,3
2,43.48308425,10.15368985,46.363,4851399.402,1601392.449,0.296,Ovest,FBU,
3,43.48308785,10.15370843,46.715,4851400.575,1601396.585,0.648,Ovest,FBU,
4,43.48309656,10.15375016,47.193,4851403.404,1601405.866,1.127,Ovest,FBU,
5,43.48310784,10.15381274,47.81,4851407.099,1601419.796,1.743,Ovest,FBU,
6,43.48311337,10.15384864,48.387,4851408.927,1601427.79,2.32,Ovest,FBU,
7,43.48311968,10.15388601,48.259,4851411,1601436.112,2.192,Ovest,FBU,
8,43.48312662,10.15393427,48.154,4851413.304,1601446.862,2.087,Ovest,FBU,
9,43.48313672,10.15397768,48.232,4851416.568,1601456.513,2.166,Ovest,FBU,
10,43.48313877,10.15398928,48.267,4851417.24,1601459.095,2.2,Ovest,FBU,
11,43.48313973,10.15399719,48.449,4851417.563,1601460.857,2.382,Ovest,FBU,
12,43.48314181,10.15400722,49.041,4851418.242,1601463.088,2.974,Ovest,FBU,
13,43.48314277,10.15401743,49.749,4851418.57,1601465.365,3.682,Ovest,FBU,
14,43.48314392,10.15403622,49.609,4851418.991,1601469.558,3.542,Ovest,FBU,
15,43.4831458,10.15405439,49.149,4851419.631,1601473.608,3.082,Ovest,FBU,
16,43.48315105,10.15409198,48.895,4851421.38,1601481.983,2.828,Ovest,FBU,
17,43.48315638,10.15411867,48.712,4851423.116,1601487.922,2.645,Ovest,FBU,
18,43.4831599,10.15413493,48.228,4851424.256,1601491.538,2.161,Ovest,FBU,
19,43.48316622,10.15417328,48.142,4851426.337,1601500.077,2.075,Ovest,FBU,
20,43.48317069,10.1542063,48.343,4851427.829,1601507.434,2.275,Ovest,FBU,
21,43.48317275,10.15422664,48.3,4851428.533,1601511.969,2.233,Ovest,FBU,
22,43.48317482,10.15424579,47.799,4851429.236,1601516.237,1.732,Ovest,FBU,
23,43.48317797,10.15426961,48.136,4851430.291,1601521.545,2.069,Ovest,FBU,
24,43.4831792,10.15429462,48.367,4851430.756,1601527.126,2.3,Ovest,FBU,
25,43.48318191,10.15433548,48.706,4851431.73,1601536.242,2.639,Ovest,FBU,
